@RELATION data

@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE dit NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE ca NUMERIC
@ATTRIBUTE ce NUMERIC
@ATTRIBUTE npm NUMERIC
@ATTRIBUTE lcom3 NUMERIC
@ATTRIBUTE loc NUMERIC
@ATTRIBUTE dam NUMERIC
@ATTRIBUTE moa NUMERIC
@ATTRIBUTE mfa NUMERIC
@ATTRIBUTE cam NUMERIC
@ATTRIBUTE ic NUMERIC
@ATTRIBUTE cbm NUMERIC
@ATTRIBUTE amc NUMERIC
@ATTRIBUTE max_cc NUMERIC
@ATTRIBUTE avg_cc NUMERIC
@ATTRIBUTE contains_bug {FALSE,TRUE}
@ATTRIBUTE author_date_unix_timestamp NUMERIC
@ATTRIBUTE project_no NUMERIC
@ATTRIBUTE commit_type NUMERIC

@DATA
4,1,0,6,4,6,6,1,4,2,4,0,0,0,0.625,0,0,0,1,1,FALSE,1e+09,10,0
3,5,0,6,11,3,0,6,3,2,45,0,0,0.964912,0.666667,2,7,14,1,0.6667,FALSE,1e+09,10,0
9,4,0,21,41,24,0,21,5,0.53125,311,1,1,0.923077,0.253968,3,13,33.1111,6,2.4444,FALSE,1e+09,10,0
4,2,0,8,6,0,1,7,4,0,37,1,0,0.8,0.45,0,0,8,3,1.25,FALSE,1e+09,10,0
20,3,0,8,56,188,2,6,15,1.01974,859,1,0,0.709677,0.292857,2,8,41.55,12,2.3,TRUE,1e+09,10,3
1,3,1,6,2,0,5,1,1,2,4,0,0,1,1,0,0,3,0,0,FALSE,1e+09,10,0
11,1,0,4,18,5,2,2,8,0.714286,248,0.714286,2,0,0.366667,0,0,20.2727,5,1.2727,FALSE,1e+09,10,0
1,6,0,1,2,0,0,1,1,2,6,0,0,1,1,0,0,5,0,0,FALSE,1e+09,10,0
9,1,0,20,9,36,16,4,9,2,9,0,0,0,0.296296,0,0,0,1,1,FALSE,1e+09,10,0
75,1,1,96,196,2497,86,23,59,0.933784,3247,1,9,0,0.093333,0,0,41.8933,13,2.2667,TRUE,1e+09,10,3
3,4,0,14,17,3,0,14,3,2,75,0,0,0.979592,0.444444,3,13,24,3,1.3333,FALSE,1e+09,10,0
17,1,0,4,52,50,0,4,16,0.65625,569,1,0,0,0.196078,0,0,32.2353,14,1.8824,FALSE,1e+09,10,0
3,1,0,4,11,0,4,0,3,0,38,0,0,0,0.833333,0,0,11.3333,1,0.6667,FALSE,1e+09,10,0
4,5,0,5,12,0,1,4,2,0.636364,179,1,0,0.989529,0.55,1,1,41,1,0.5,FALSE,1e+09,10,0
2,3,0,4,4,1,1,3,2,2,13,0,0,0.97619,0.75,1,1,5.5,1,0.5,FALSE,1e+09,10,0
15,4,1,9,35,0,8,1,15,0.392857,357,0,0,0.62963,0.311111,1,2,22.6667,8,2,FALSE,1e+09,10,0
3,4,0,8,11,0,0,8,3,0,51,1,1,0.979592,0.444444,3,13,15.6667,2,1,FALSE,1e+09,10,0
37,1,0,27,37,666,24,4,37,1.02778,51,0,0,0,0.27027,0,0,0,1,1,FALSE,1e+09,10,0
3,5,0,5,6,1,1,4,2,0.5,28,1,0,0.992806,0.625,2,3,8,2,0.6667,FALSE,1e+09,10,0
1,2,0,8,2,0,3,5,1,2,10,0,0,0,1,0,0,9,0,0,FALSE,1e+09,10,0
7,5,0,7,18,0,1,6,7,0,115,0,0,0.978417,0.285714,3,14,15.2857,1,0.4286,FALSE,1e+09,10,0
3,4,0,10,34,3,1,9,1,2,169,0,0,0.990566,0.666667,1,1,55.3333,1,0.6667,FALSE,1e+09,10,0
22,3,0,28,72,121,10,22,21,0.852381,485,1,4,0.740741,0.140496,2,7,20.5909,8,2.0455,FALSE,1e+09,10,0
7,1,0,11,45,1,0,11,4,0.75,499,0.5,0,0,0.571429,0,0,69.7143,7,1.7143,FALSE,1e+09,10,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,FALSE,1e+09,10,0
7,1,0,18,47,9,1,17,7,0.722222,593,0,0,0,0.333333,0,0,82.8571,10,2.4286,TRUE,1e+09,10,3
6,1,0,4,17,0,3,1,6,0.7,183,0,0,0,0.722222,0,0,28.5,7,1.8333,FALSE,1e+09,10,0
64,2,0,38,159,878,20,22,58,0.820513,1706,0.692308,5,0.088235,0.126116,1,1,25.4531,6,1.3906,TRUE,1e+09,10,3
9,1,0,3,16,24,2,2,8,0.708333,143,0,1,0,0.4,0,0,14.5556,3,1.5556,FALSE,1e+09,10,0
6,3,0,35,56,0,2,33,5,0.45,416,1,2,0.918033,0.305556,2,8,67.6667,28,6,FALSE,1e+09,10,0
13,5,0,11,20,54,2,9,12,0.9,119,1,0,0.926174,0.21875,2,5,7.38462,2,0.9231,FALSE,1e+09,10,0
3,7,0,11,14,0,1,10,3,0,119,1,0,0.985185,0.555556,3,3,38.3333,5,2.3333,FALSE,1e+09,10,0
3,4,0,22,31,3,1,21,3,2,152,0,0,0.974359,0.5,2,3,49.6667,8,3,FALSE,1e+09,10,0
2,1,0,13,34,0,1,13,0,0.066667,283,0.866667,6,0,1,0,0,133,4,2,TRUE,1e+09,10,3
22,1,0,22,22,231,20,2,22,2,22,0,0,0,0.30303,0,0,0,1,1,FALSE,1e+09,10,0
10,1,1,6,41,0,3,3,7,0.333333,437,0.666667,1,0,0.475,0,0,42.4,1,0.8,FALSE,1e+09,10,0
11,2,1,13,29,53,10,3,11,0.8,125,1,0,0.705882,0.327273,1,5,10.2727,4,1.4545,FALSE,1e+09,10,0
1,1,0,6,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,FALSE,1e+09,10,0
18,4,0,41,70,21,6,38,14,0.588235,900,1,0,0.811111,0.238095,2,9,48.7778,20,4.0556,TRUE,1e+09,10,3
8,3,0,1,21,28,1,0,7,1.14286,273,0,0,0.857143,0.225,0,0,17.375,2,0.875,FALSE,1e+09,10,0
5,1,0,8,10,10,8,0,5,2,85,0,0,0,0.2,0,0,16,5,3,FALSE,1e+09,10,0
5,2,0,5,12,0,1,4,4,0,34,0,0,0.75,0.4,0,0,5.6,1,0.8,FALSE,1e+09,10,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,FALSE,1e+09,10,0
9,1,0,3,20,36,0,3,9,2,204,0,0,0,0.333333,0,0,21.6667,4,2.6667,FALSE,1e+09,10,0
10,1,0,53,10,45,53,0,10,1.11111,11,0,0,0,0.4,0,0,0,1,1,FALSE,1e+09,10,0
3,4,0,1,5,1,0,1,2,0.5,79,1,0,0.975,0.75,2,3,25,3,1,FALSE,1e+09,10,0
5,3,0,23,30,4,2,22,4,1,496,1,1,0.9375,0.4,3,6,97.6,17,4.4,FALSE,1e+09,10,0
21,1,2,43,49,196,36,8,17,0.975,299,0.4,1,0,0.15,0,0,12.7619,10,1.3333,TRUE,1e+09,10,3
4,5,0,17,75,6,1,17,3,2,468,0,0,0.986111,0.5,4,6,116,3,1.25,TRUE,1e+09,10,3
16,1,0,4,38,58,3,1,16,0.741667,261,1,1,0,0.453125,0,0,14.8125,3,1.3125,FALSE,1e+09,10,0
0,1,0,6,0,0,5,1,0,2,188,0,0,0,0,0,0,0,0,0,FALSE,1e+09,10,0
36,1,0,25,96,516,10,16,35,0.929143,831,0.52,9,0,0.142593,0,0,21.3889,12,2.0556,FALSE,1e+09,10,0
7,1,0,29,17,0,26,3,7,0,155,1,0,0,0.464286,0,0,21,4,1.8571,FALSE,1e+09,10,0
8,1,0,2,12,0,2,0,8,0.52381,217,0.833333,0,0,0.583333,0,0,25.375,4,1.875,FALSE,1e+09,10,0
37,1,0,41,37,666,41,0,37,2,37,0,0,0,0.191892,1,1,0,1,1,FALSE,1e+09,10,0
7,2,0,11,24,5,1,11,6,0.583333,131,1,2,0.9,0.238095,1,5,17.4286,6,1.8571,FALSE,1e+09,10,0
3,3,0,7,7,3,2,5,3,2,25,0,0,0.953488,0.555556,1,1,7.33333,1,0.6667,FALSE,1e+09,10,0
8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.28125,0,0,0,1,1,FALSE,1e+09,10,0
84,2,29,101,125,3056,91,17,75,0.913655,1279,0.75,3,0.567708,0.090336,1,12,14.0833,9,1.5595,TRUE,1e+09,10,3
2,2,1,33,26,1,24,29,2,2,213,0,0,0.98913,0.642857,0,0,105.5,5,2.5,FALSE,1e+09,10,0
7,1,2,8,8,21,3,5,7,2,13,0,0,0,0.306122,0,0,0.857143,1,0.8571,FALSE,1e+09,10,0
5,4,0,8,37,6,0,8,3,0.65,253,0.4,0,0.941176,0.4375,2,7,48.6,4,1.2,FALSE,1e+09,10,0
8,4,0,10,24,16,6,7,8,0.571429,97,0,1,0.966507,0.3,2,4,11,3,1.125,FALSE,1e+09,10,0
9,1,0,8,9,36,7,1,9,2,9,0,0,0,0.333333,0,0,0,1,1,FALSE,1e+09,10,0
5,2,0,3,13,4,2,3,5,1,61,1,3,0.904762,0.5,1,1,10,1,0.4,FALSE,1e+09,10,0
3,3,0,6,7,3,1,5,3,2,19,0,0,0.952381,0.555556,1,1,5.33333,1,0.6667,FALSE,1e+09,10,0
1,5,3,7,2,0,6,1,0,2,4,0,0,1,1,0,0,3,0,0,FALSE,1e+09,10,0
15,3,0,55,96,23,0,55,9,0.798319,1308,1,8,0.811594,0.214286,2,3,85.0667,14,3.1333,FALSE,1e+09,10,0
9,1,0,3,24,0,2,2,0,0.892857,353,0,1,0,0.62963,0,0,37.4444,3,1.4444,FALSE,1e+09,10,0
6,3,0,27,31,0,2,25,6,0.333333,213,1,2,0.934211,0.305556,2,7,34,4,1.3333,FALSE,1e+09,10,0
27,3,0,11,87,201,5,10,24,0.783654,697,1,0,0.444444,0.171329,1,2,24.5185,3,1.0741,TRUE,1e+09,10,3
6,7,0,26,39,5,0,26,6,0.6,289,1,0,0.95935,0.333333,4,8,46.8333,4,1.5,FALSE,1e+09,10,0
1,1,0,3,1,0,1,2,1,2,1,0,0,0,1,0,0,0,1,1,FALSE,1e+09,10,0
6,3,0,10,44,15,0,10,5,1,615,0,0,0.615385,0.375,3,6,101.167,7,2,TRUE,1e+09,10,3
7,2,0,1,13,0,1,0,7,0,65,1,0,0.684211,0.342857,1,2,8.14286,1,0.8571,FALSE,1e+09,10,0
3,3,0,4,4,3,0,4,3,2,9,0,0,0.95,0.5,1,6,2,1,0.6667,FALSE,1e+09,10,0
50,5,0,59,120,1069,51,25,34,0.939909,990,0.944444,11,0.853659,0.07913,3,6,18.44,10,1.6,FALSE,1e+09,10,0
5,1,0,41,5,10,41,0,5,2,5,0,0,0,0.6,0,0,0,1,1,FALSE,1e+09,10,0
6,3,0,5,17,3,0,5,6,0.4,60,1,0,0.975124,0.444444,2,4,8.83333,1,0.8333,FALSE,1e+09,10,0
7,4,0,14,18,0,3,12,6,0.166667,156,0,1,0.931034,0.367347,3,17,21.1429,2,1,FALSE,1e+09,10,0
3,4,0,5,5,1,1,4,3,1,25,1,0,0.975904,0.466667,0,0,6.66667,1,0.6667,FALSE,1e+09,10,0
5,3,12,13,16,8,13,0,3,1.22368,424,0,0,0.926829,0.416667,0,0,80,3,1,FALSE,1e+09,10,0
1,2,0,5,3,0,0,5,1,2,7,0,0,1,1,0,0,6,0,0,FALSE,1e+09,10,0
2,5,0,7,6,1,0,7,2,2,21,0,0,0.982456,0.75,1,6,9.5,1,0.5,FALSE,1e+09,10,0
3,1,0,13,19,3,1,13,3,2,207,0,0,0,0.444444,0,0,68,11,5.3333,FALSE,1e+09,10,0
25,1,0,3,70,254,3,0,20,0.902778,559,1,0,0,0.152727,0,0,21.12,3,1.08,FALSE,1e+09,10,0
56,2,1,21,84,714,14,7,56,0.739394,839,0.833333,1,0.363636,0.160714,1,4,13.875,9,1.5714,FALSE,1e+09,10,0
3,1,0,1,4,0,1,0,3,0.642857,55,0,0,0,0.666667,0,0,15,0,0,FALSE,1e+09,10,0
2,5,0,9,14,1,1,8,1,2,50,0,0,0.995283,0.625,2,2,24,1,0.5,FALSE,1e+09,10,0
1,3,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,FALSE,1e+09,10,0
3,3,0,5,14,1,0,5,2,0.5,37,1,1,0.965517,0.555556,1,4,11,1,0.6667,FALSE,1e+09,10,0
15,1,0,7,34,15,4,6,8,0.619048,331,1,1,0,0.190476,0,0,20.4667,1,0.8667,TRUE,1e+09,10,3
3,1,0,7,14,3,4,3,2,1,69,1,0,0,0.5,0,0,21.6667,4,1.3333,FALSE,1e+09,10,0
12,3,0,40,49,0,1,39,11,0.333333,836,1,2,0.865854,0.238095,2,8,68.4167,18,3.25,FALSE,1e+09,10,0
2,5,0,2,3,1,0,2,2,2,6,0,0,0.995833,0.75,1,1,2,1,0.5,FALSE,1e+09,10,0
1,1,0,0,2,0,0,0,1,2,8,0,0,0,1,0,0,3,0,0,FALSE,1e+09,10,0
25,1,0,53,25,300,52,2,25,1.04167,28,0,0,0,0.34,0,0,0,1,1,FALSE,1e+09,10,0
8,2,0,4,14,0,1,3,8,0.628571,212,1,1,0.588235,0.416667,1,5,24.875,12,2.375,FALSE,1e+09,10,0
10,3,0,36,70,7,1,35,7,0.644444,658,1,2,0.861538,0.3,1,9,64.3,13,4,FALSE,1e+09,10,0
0,1,0,5,0,0,5,0,0,2,14,0,0,0,0,0,0,0,0,0,FALSE,1e+09,10,0
7,3,0,15,36,0,0,15,6,0.814815,242,0.444444,2,0.934211,0.285714,2,8,32.2857,3,1.1429,FALSE,1e+09,10,0
5,3,0,5,12,10,2,3,5,2,39,0,0,0.98,0.7,2,4,6.8,1,0.8,FALSE,1e+09,10,0
1,4,0,2,2,0,2,0,0,2,5,0,0,1,1,0,0,4,0,0,FALSE,1e+09,10,0
7,2,0,15,50,11,0,15,5,0.911111,555,0.866667,0,0.545455,0.351852,0,0,76.1429,2,1,TRUE,1e+09,10,3
9,5,0,11,39,36,1,10,6,2,195,0,0,0.963801,0.314815,4,7,20.6667,16,3,TRUE,1e+09,10,3
30,1,0,46,138,309,4,44,12,0.84755,2953,1,6,0,0.1625,0,0,96.8,40,5.6667,FALSE,1e+09,10,0
5,3,0,26,32,0,1,25,4,0.25,253,1,1,0.933333,0.333333,1,3,49.4,5,1.8,FALSE,1e+09,10,0
15,1,0,8,25,49,2,6,12,0.833333,139,0.833333,3,0,0.208333,0,0,7.86667,6,1.2667,FALSE,1e+09,10,0
18,1,0,44,38,151,43,1,17,0.941176,258,0,0,0,0.235294,0,0,13.2778,5,1.5556,TRUE,1e+09,10,3
19,1,0,4,25,0,4,0,18,0.513889,256,1,0,0,0.394737,0,0,12.2632,3,1.2105,TRUE,1e+09,10,3
3,1,6,8,4,3,7,1,0,2,6,0,0,0,0.555556,0,0,1,1,0.6667,FALSE,1e+09,10,0
1,1,0,0,2,0,0,0,1,2,16,0,1,0,1,0,0,12,0,0,FALSE,1e+09,10,0
25,3,0,6,49,0,4,3,25,0.520833,161,0.5,1,0.890909,0.253333,1,1,5.36,2,1,FALSE,1e+09,10,0
8,2,0,14,27,20,0,14,6,0.571429,189,1,2,0.5,0.349206,1,1,22.25,8,2.375,TRUE,1e+09,10,3
36,1,0,3,69,428,2,1,28,0.834921,967,1,3,0,0.215873,0,0,25.1111,2,0.8889,FALSE,1e+09,10,0
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.611111,0,0,0,1,1,FALSE,1e+09,10,0
7,2,0,1,13,0,1,0,7,0,213,1,0,0.684211,0.342857,1,2,29.2857,1,0.8571,FALSE,1e+09,10,0
8,2,0,4,17,0,2,2,8,0,47,0,1,0.740741,0.416667,1,1,4.75,1,0.875,FALSE,1e+09,10,0
53,1,0,34,150,1362,22,15,49,1.0016,2089,0.375,0,0,0.125,0,0,37.9623,49,4.3962,TRUE,1e+09,10,3
8,3,0,4,22,28,1,3,7,2,177,0,0,0.860465,0.375,2,4,21.125,1,0.75,FALSE,1e+09,10,0
6,5,0,16,27,15,1,15,4,2,193,0,0,0.977064,0.533333,2,4,31.1667,6,1.6667,TRUE,1e+09,10,3
20,2,0,41,44,190,18,30,19,2,353,0,0,0.634615,0.230769,2,4,16.65,8,1.45,TRUE,1e+09,10,3
6,3,0,25,39,0,1,24,5,0.4,201,1,2,0.918033,0.361111,1,6,32.1667,3,1.6667,FALSE,1e+09,10,0
3,4,0,11,27,3,0,11,2,2,169,0,0,0.96,0.47619,1,6,55.3333,8,3,FALSE,1e+09,10,0
5,2,0,2,15,10,1,1,5,2,305,0,0,0.5,0.35,2,5,60,8,2.2,FALSE,1e+09,10,0
2,6,0,7,12,1,0,7,2,2,70,0,0,0.984615,0.75,1,6,34,1,0.5,FALSE,1e+09,10,0
8,4,0,18,27,0,1,17,8,0.142857,135,1,2,0.925532,0.270833,2,3,15.625,2,1,FALSE,1e+09,10,0
1,1,0,3,1,0,3,0,0,2,36,0,0,0,0,0,0,28,0,0,FALSE,1e+09,10,0
10,3,1,26,17,1,24,3,9,0.703704,99,0,2,0.910256,0.333333,2,22,8.6,3,1.3,TRUE,1e+09,10,3
2,4,0,5,7,1,0,5,2,2,15,0,0,0.979592,0.75,1,6,6.5,1,0.5,FALSE,1e+09,10,0
28,1,0,54,49,268,50,4,28,0.562963,732,0.8,0,0,0.285714,1,1,24.9643,9,1.4286,FALSE,1e+09,10,0
3,5,0,6,10,3,1,5,1,2,30,0,0,0.990698,0.583333,1,2,9,1,0.6667,FALSE,1e+09,10,0
42,1,0,10,85,0,4,6,42,0.783972,437,1,2,0,0.23545,0,0,9.23809,6,1.1905,FALSE,1e+09,10,0
22,3,3,38,68,155,20,24,19,0.828571,383,0.8,2,0.907407,0.168182,2,15,16.1818,4,1.0909,TRUE,1e+09,10,3
9,4,7,20,23,6,12,9,8,0.375,123,0,1,0.857143,0.355556,3,9,12.5556,6,1.7778,FALSE,1e+09,10,0
9,1,0,7,29,12,5,2,8,0.625,453,1,0,0,0.416667,0,0,49,7,2.5556,FALSE,1e+09,10,0
32,1,2,12,54,470,7,5,23,0.956012,371,1,2,0,0.286458,0,0,10.25,5,1.3125,TRUE,1e+09,10,3
66,1,0,77,66,2145,74,3,66,1.01538,81,0,0,0,0.277056,0,0,0,1,1,FALSE,1e+09,10,0
10,3,0,33,54,0,0,33,10,0.185185,600,1,2,0.8875,0.257143,2,9,58.7,7,2.5,FALSE,1e+09,10,0
7,4,0,18,28,15,4,14,6,0.5,166,1,0,0.973094,0.314286,4,7,22.5714,1,0.8571,TRUE,1e+09,10,3
2,4,0,8,6,1,0,8,2,2,13,0,0,0.989691,0.625,2,4,5.5,1,0.5,FALSE,1e+09,10,0
8,5,0,5,10,28,2,3,8,2,31,0,0,0.951049,0.416667,3,19,2.875,2,1,FALSE,1e+09,10,0
3,1,0,1,9,0,1,1,2,0,67,1,1,0,0.5,0,0,20,3,1.6667,FALSE,1e+09,10,0
2,5,0,7,8,1,0,7,2,2,34,0,0,0.982456,0.75,1,6,16,1,0.5,FALSE,1e+09,10,0
2,5,0,6,7,1,0,6,2,2,36,0,0,0.982456,0.75,1,6,17,1,0.5,FALSE,1e+09,10,0
1,1,0,1,2,0,1,0,1,2,16,0,0,0,1,0,0,12,0,0,FALSE,1e+09,10,0
6,1,0,18,6,15,16,3,6,2,6,0,0,0,0.5,0,0,0,1,1,TRUE,1e+09,10,3
5,3,0,21,24,0,2,19,4,0.25,84,1,1,0.933333,0.314286,1,4,15.4,1,0.8,FALSE,1e+09,10,0
10,3,0,20,41,0,0,20,9,0.62963,362,0.666667,2,0.898734,0.269841,2,9,34.6,8,2.4,FALSE,1e+09,10,0
1,4,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,FALSE,1e+09,10,0
21,1,1,12,29,76,11,1,20,0.858333,409,0.166667,0,0,0.404762,0,0,18.1905,8,1.6667,TRUE,1e+09,10,3
30,1,1,7,33,0,7,0,30,0.422414,933,1,0,0,0.4,0,0,29.9667,5,2.1667,FALSE,1e+09,10,0
43,1,0,13,91,783,4,9,1,0.962585,1954,0.166667,2,0,0.328042,0,0,43.4651,19,1.5349,TRUE,1e+09,10,3
19,3,2,32,61,99,15,20,18,0.907407,335,1,3,0.769231,0.190789,1,4,16,7,1.7368,FALSE,1e+09,10,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE,1e+09,10,0
2,4,0,6,15,1,0,6,2,2,73,0,0,0.979592,0.75,1,6,35.5,1,0.5,FALSE,1e+09,10,0
13,4,1,15,50,30,2,13,9,0.583333,388,1,2,0.943925,0.230769,2,6,28.6923,8,1.6923,FALSE,1e+09,10,0
5,4,0,14,10,4,1,14,4,0.5,38,1,0,0.947368,0.36,2,8,6.4,1,0.8,FALSE,1e+09,10,0
2,4,1,9,14,1,2,7,1,2,50,0,0,0.995261,0.625,2,2,24,1,0.5,FALSE,1e+09,10,0
3,5,0,12,13,3,0,12,3,2,50,0,0,0.99,0.533333,3,5,15.6667,1,0.3333,FALSE,1e+09,10,0
4,4,0,38,46,0,1,37,3,0.083333,562,1,4,0.969697,0.458333,3,7,138.5,12,3.5,TRUE,1e+09,10,3
5,5,0,7,8,6,0,7,5,0.916667,41,1,0,0.971831,0.325,1,2,6.6,1,0.8,FALSE,1e+09,10,0
19,3,1,21,43,87,6,15,18,0.6,336,0.2,3,0.816092,0.184211,2,24,16.4211,9,1.6842,TRUE,1e+09,10,3
15,1,0,3,21,0,1,2,15,0.628571,158,1,2,0,0.311111,0,0,9.2,2,0.8667,FALSE,1e+09,10,0
2,4,0,6,10,1,0,6,2,2,30,0,0,0.979592,0.75,1,6,14,1,0.5,FALSE,1e+09,10,0
26,1,0,8,42,243,1,7,25,0.693333,205,1,2,0,0.258242,0,0,6.76923,1,0.9615,TRUE,1e+09,10,3
14,1,0,4,14,91,4,0,14,2,14,0,0,0,0.27381,0,0,0,1,1,FALSE,1e+09,10,0
2,4,0,3,3,1,1,2,2,2,13,0,0,0.987805,0.6,0,0,5.5,1,0.5,FALSE,1e+09,10,0
33,4,2,42,74,516,24,19,31,0.96875,600,0,6,0.801471,0.173611,3,29,17,2,1.1515,TRUE,1e+09,10,3
3,5,0,2,4,3,1,1,0,2,10,0,0,0.99095,1,1,1,2.33333,1,0.6667,FALSE,1e+09,10,0
81,2,1,171,136,2426,155,22,78,0.936207,1294,0.793103,11,0.195876,0.069318,0,0,14.6173,5,1.2716,TRUE,1e+09,10,3
6,3,0,7,23,9,1,7,6,0.833333,134,1,1,0.934211,0.361111,2,12,20.3333,1,0.8333,FALSE,1e+09,10,0
2,5,0,5,9,1,0,5,2,2,42,0,0,0.982143,0.75,3,8,20,1,0.5,FALSE,1e+09,10,0
19,3,0,64,101,119,2,64,13,0.85,1465,0.8,4,0.756757,0.239234,1,3,75.5789,9,3.0526,FALSE,1e+09,10,0
11,2,0,5,26,0,0,5,8,0.666667,271,1,3,0.5,0.309091,1,5,23.0909,4,1.6364,FALSE,1e+09,10,0
21,1,0,2,51,134,1,1,21,0.716667,292,1,0,0,0.265306,0,0,12.7619,7,1.381,TRUE,1e+09,10,3
21,3,0,3,43,0,0,3,19,0.5,498,1,0,0.5,0.220238,1,2,22.4762,3,1.0476,FALSE,1e+09,10,0
